Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv,X,Y,Z
4600.0,0.9995582383548,2509894304.106,8.650768093865,2.652295242036,-1.528917727378,21.66950539162,11.98062319994,318447291.5228,27.99220911482,0.2848509640277,0.2848509739829,2950743.712993,1,0.565316,0.21305,0.221633
4600.0,0.9995009830579,2507846771.216,8.703555073112,2.667279041968,-1.497341322134,21.66949088389,13.25080631119,318425685.2909,30.45525354524,0.2828139548967,0.2828139640067,3744385.040264,1,0.565274,0.213039,0.221686
4600.0,0.9994364665945,2505696791.059,8.756398828245,2.682153574726,-1.466166876488,21.66947396372,14.59188293545,318399096.0607,33.02843443196,0.280968185907,0.280968194248,4732937.794834,1,0.565227,0.213027,0.221746
4600.0,0.9993640007413,2503443749.478,8.809141238354,2.696960145891,-1.435543725283,21.66945429917,15.99908538418,318374432.0174,35.67793902917,0.2791755010108,0.2791755086824,5955092.490854,1,0.565174,0.213013,0.221813
4600.0,0.9992824267889,2501074819.983,8.861911802513,2.71165161778,-1.405284116519,21.66943136146,17.47319433957,318340279.1779,38.43209861115,0.2791927419459,0.2791927490181,7463275.383099,1,0.565114,0.212997,0.221889
4600.0,0.9991910365828,2498593023.331,8.914479363918,2.726291995123,-1.375556712327,21.66940477045,19.00641009706,318306248.4939,41.23263315351,0.2770363216113,0.2770363281495,9308373.06924,1,0.565046,0.212979,0.221975
4600.0,0.9990887049779,2495991316.393,8.966849555955,2.740872419902,-1.346470985711,21.66937400707,20.59555600376,318268043.6337,44.07341522647,0.280062438255,0.2800624443221,11555807.88621,1,0.56497,0.212959,0.222071
4600.0,0.9989745371741,2493266718.545,9.018876229524,2.755428734587,-1.318623793805,21.66933843785,22.23222022214,318225275.8942,46.90309441764,0.2788125901963,0.2788125958505,14273246.27747,1,0.564885,0.212937,0.222178
4600.0,0.9988467303431,2490397919.262,9.07077643014,2.769882281651,-1.29107785414,21.66929725732,23.91991641645,318176080.7688,49.78273085112,0.2782719887085,0.278271994072,17558845.708,1,0.56479,0.212911,0.222299
4600.0,0.9987038109186,2487381209.934,9.122522453495,2.784235457061,-1.26322298094,21.66925014165,25.65496705183,318127204.263,52.70342885371,0.2736197507817,0.2736197557734,21514789.18492,1,0.564683,0.212883,0.222435
4600.0,0.9985411734206,2484154535.859,9.175003970004,2.79819042512,-1.235489190446,21.66919467449,27.47562497597,318071472.9521,56.01339507515,0.2549162895417,0.2549162939308,26351672.77402,1,0.56456,0.21285,0.22259
4600.0,0.9983522716509,2480627749.343,9.229200044732,2.811399485163,-1.20845073026,21.66912816126,29.43973569313,318004810.5475,60.2079321455,0.2301301260219,0.2301301294649,32386619.73739,1,0.564417,0.212812,0.222771
4600.0,0.9981292146608,2476698657.04,9.285855647839,2.823566526722,-1.182618228796,21.66904718331,31.61223608196,317921237.4843,65.85344869638,0.1992813315501,0.1992813338963,40054362.86628,1,0.564247,0.212766,0.222987
4600.0,0.997868361444,2472345977.121,9.344265949344,2.834859700348,-1.157420505827,21.66894809601,33.9910270141,317807136.2183,73.00281848015,0.192821703015,0.1928217050798,49722743.96099,1,0.564047,0.212711,0.223242
