# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681327149505273e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225849
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000570.928990
# J2  =  3509.293304
# J4  =   -35.742893
# J6  =     0.631522
# J8  =    -0.016567
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
   174  2.4310e+07  1.5996e+02  1.5238e+09  
   175  2.4304e+07  1.5997e+02  1.5332e+09  
   176  2.4298e+07  1.5999e+02  1.5426e+09  
   177  2.4292e+07  1.6000e+02  1.5521e+09  
   178  2.4285e+07  1.6002e+02  1.5615e+09  
   179  2.4279e+07  1.6003e+02  1.5709e+09  
   180  2.4273e+07  1.6005e+02  1.5804e+09  
   181  2.4267e+07  1.6006e+02  1.5898e+09  
   182  2.4261e+07  1.6008e+02  1.5993e+09  
   183  2.4254e+07  1.6009e+02  1.6087e+09  
   184  2.4248e+07  1.6011e+02  1.6182e+09  
   185  2.4242e+07  1.6012e+02  1.6277e+09  
   186  2.4236e+07  1.6014e+02  1.6371e+09  
   187  2.4230e+07  1.6015e+02  1.6466e+09  
   188  2.4223e+07  1.6017e+02  1.6561e+09  
   189  2.4217e+07  1.6018e+02  1.6656e+09  
   190  2.4211e+07  1.6020e+02  1.6751e+09  
   191  2.4205e+07  1.6021e+02  1.6846e+09  
   192  2.4199e+07  1.6023e+02  1.6941e+09  
   193  2.4192e+07  1.6024e+02  1.7036e+09  
   194  2.4186e+07  1.6026e+02  1.7131e+09  
   195  2.4180e+07  1.6027e+02  1.7226e+09  
   196  2.4174e+07  1.6029e+02  1.7321e+09  
   197  2.4168e+07  1.6030e+02  1.7417e+09  
